strain	gisaid_epi_isl	genbank_accession	date	region	iso	country	division	location	region_exposure	country_exposure	division_exposure	length	host	originating_lab	submitting_lab	authors	url	update
USA/CA-CDPH-UC21/2020	EPI_ISL_417325	?	2020-03-03	North America	USA	USA-West	California	Solano County	North America	USA	California	29903	Human	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	?
USA/CA-CDPH-UC26/2020	EPI_ISL_417330	?	2020-03-13	North America	USA	USA-West	California	San Francisco	North America	USA	California	29903	Human	Chiu Laboratory, University of California, San Francisco	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	?
USA/CA3/2020	EPI_ISL_408008	MT027062	2020-01-29	North America	USA	USA-West	California	?	North America	USA	California	29882	Human	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/CA4/2020	EPI_ISL_408009	MT027063	2020-01-29	North America	USA	USA-West	California	?	North America	USA	California	29882	Human	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/CA8/2020	EPI_ISL_411955	MT106053	2020-02-10	North America	USA	USA-West	California	?	North America	USA	California	29882	Human	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/CT-NYUMC374/2020	EPI_ISL_430401	?	2020-04-10	North America	USA	USA-Northeast	Connecticut	Fairfield County	North America	USA	Connecticut	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/CT-UW-4344/2020	EPI_ISL_426052	?	2020-03-30	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29889	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW-4346/2020	EPI_ISL_426053	?	2020-03-30	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29904	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW-4366/2020	EPI_ISL_426055	?	2020-03-30	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29907	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW-4372/2020	EPI_ISL_426056	?	2020-03-30	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29831	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW-5038/2020	EPI_ISL_429641	?	2020-04-06	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29871	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW-5073/2020	EPI_ISL_429645	?	2020-04-06	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29890	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW158/2020	EPI_ISL_416696	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29854	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW159/2020	EPI_ISL_416697	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29782	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW213/2020	EPI_ISL_417362	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29860	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW223/2020	EPI_ISL_417372	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29904	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW224/2020	EPI_ISL_417373	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29873	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW238/2020	EPI_ISL_417452	?	2020-03-12	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29852	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW250/2020	EPI_ISL_418035	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29459	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW254/2020	EPI_ISL_418039	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29843	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW256/2020	EPI_ISL_418041	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29879	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW258/2020	EPI_ISL_418043	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29702	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW259/2020	EPI_ISL_418044	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29884	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW271/2020	EPI_ISL_418056	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29878	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW272/2020	EPI_ISL_418057	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29836	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW273/2020	EPI_ISL_418058	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29557	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW303/2020	EPI_ISL_418871	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29808	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW327/2020	EPI_ISL_418894	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29674	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW328/2020	EPI_ISL_418895	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29820	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW329/2020	EPI_ISL_418896	?	2020-03-13	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29443	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CT-UW331/2020	EPI_ISL_418898	?	2020-03-14	North America	USA	USA-Northeast	Connecticut	?	North America	USA	Connecticut	29866	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/CZB-RR057-007/2020	EPI_ISL_417933	?	2020-03-18	North America	USA	USA-West	California	San Francisco	North America	USA	California	29895	Human	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?
USA/CZB-RR057-013/2020	EPI_ISL_417937	?	2020-03-18	North America	USA	USA-West	California	San Francisco	North America	USA	California	29902	Human	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?
USA/DC_0004/2020	EPI_ISL_424852	?	2020-03-06	North America	USA	USA-South	District of Columbia	?	North America	USA	District of Columbia	29882	Human	DC Public Health Lab/ Dept. of Forensic Sciences	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/FL_9590/2020	EPI_ISL_424853	?	2020-03-05	North America	USA	USA-South	Florida	?	North America	USA	Florida	29882	Human	FL Bureau of Public Health Laboratories-Miami	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/GA_1299/2020	EPI_ISL_420787	?	2020-03-03	North America	USA	USA-South	Georgia	?	North America	USA	Georgia	29882	Human	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/GA_1621/2020	EPI_ISL_424858	?	2020-03-04	North America	USA	USA-South	Georgia	?	North America	USA	Georgia	29882	Human	GA Department of Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/GA_2742/2020	EPI_ISL_419557	?	2020-02-29	North America	USA	USA-South	Georgia	?	North America	USA	Georgia	29882	Human	GA Department of Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?
USA/ID-UW-4380/2020	EPI_ISL_426068	?	2020-03-27	North America	USA	USA-West	Idaho	?	North America	USA	Idaho	29903	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL-UW-1265/2020	EPI_ISL_422961	?	2020-03-13	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29844	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL-UW-1311/2020	EPI_ISL_424173	?	2020-03-14	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29641	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL-UW348/2020	EPI_ISL_418915	?	2020-03-13	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29778	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL-UW351/2020	EPI_ISL_418918	?	2020-03-13	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29863	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL-UW352/2020	EPI_ISL_418919	?	2020-03-13	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29866	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/IL_0087/2020	EPI_ISL_424850	?	2020-03-07	North America	USA	USA-Midwest	Illinois	?	North America	USA	Illinois	29882	Human	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/IN_72003/2020	EPI_ISL_426422	?	2020-03-07	North America	USA	USA-Midwest	Indiana	?	North America	USA	Indiana	29861	Human	IN State Department of Health Laboratory Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/IN_82003/2020	EPI_ISL_426423	?	2020-03-08	North America	USA	USA-Midwest	Indiana	?	North America	USA	Indiana	29861	Human	IN State Department of Health Laboratory Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/IN_92003/2020	EPI_ISL_426424	?	2020-03-09	North America	USA	USA-Midwest	Indiana	?	North America	USA	Indiana	29861	Human	IN State Department of Health Laboratory Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/MA_2652/2020	EPI_ISL_424914	?	2020-03-06	North America	USA	USA-Northeast	Massachusetts	?	North America	USA	Massachusetts	29882	Human	MA State Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?
USA/MA_3653/2020	EPI_ISL_424920	?	2020-03-06	North America	USA	USA-Northeast	Massachusetts	?	North America	USA	Massachusetts	29882	Human	MA State Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?
USA/MD_0026/2020	EPI_ISL_424869	?	2020-03-04	North America	USA	USA-South	Maryland	?	North America	USA	Maryland	29882	Human	MD DOH Laboratories Administration	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/MI-SC2-0001/2020	EPI_ISL_424986	?	2020-03-09	North America	USA	USA-Midwest	Michigan	?	North America	USA	Michigan	29789	Human	unknown	Bureau of Laboratories	Blankenship et al	https://www.gisaid.org	?
USA/MI-SC2-0006/2020	EPI_ISL_424984	?	2020-03-11	North America	USA	USA-Midwest	Michigan	?	North America	USA	Michigan	29789	Human	unknown	Bureau of Laboratories	Blankenship et al	https://www.gisaid.org	?
USA/MI-SC2-0008/2020	EPI_ISL_424988	?	2020-03-12	North America	USA	USA-Midwest	Michigan	?	North America	USA	Michigan	29782	Human	unknown	Bureau of Laboratories	Blankenship et al	https://www.gisaid.org	?
USA/MN-UW243/2020	EPI_ISL_418028	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29751	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/MN-UW257/2020	EPI_ISL_418042	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29821	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/MN-UW335/2020	EPI_ISL_418902	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29840	Human	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?
USA/MN124-MDH124/2020	EPI_ISL_421683	?	2020-03-15	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN128-MDH128/2020	EPI_ISL_421684	?	2020-03-16	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN129-MDH129/2020	EPI_ISL_421685	?	2020-03-16	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN130-MDH130/2020	EPI_ISL_421686	?	2020-03-17	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN132-MDH132/2020	EPI_ISL_421688	?	2020-03-16	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN134-MDH134/2020	EPI_ISL_421690	?	2020-03-16	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN136-MDH136/2020	EPI_ISL_421692	?	2020-03-17	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN25-MDH25/2020	EPI_ISL_417192	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29611	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN26-MDH26/2020	EPI_ISL_417194	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29612	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN29-MDH29/2020	EPI_ISL_417196	?	2020-03-11	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29611	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN34-MDH34/2020	EPI_ISL_417471	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29783	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN38-MDH38/2020	EPI_ISL_417474	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN40-MDH40/2020	EPI_ISL_417476	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN41-MDH41/2020	EPI_ISL_417477	?	2020-03-12	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN45-MDH45/2020	EPI_ISL_417492	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29781	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN47-MDH47/2020	EPI_ISL_417494	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29783	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN52-MDH52/2020	EPI_ISL_417497	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN55-MDH55/2020	EPI_ISL_417499	?	2020-03-13	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN56-MDH56/2020	EPI_ISL_417500	?	2020-03-14	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN62-MDH62/2020	EPI_ISL_419390	?	2020-03-14	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN63-MDH63/2020	EPI_ISL_419391	?	2020-03-14	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN65-MDH65/2020	EPI_ISL_419393	?	2020-03-14	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/MN68-MDH68/2020	EPI_ISL_419396	?	2020-03-14	North America	USA	USA-Midwest	Minnesota	?	North America	USA	Minnesota	29782	Human	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?
USA/NC_200173/2020	EPI_ISL_424353	?	2020-04-02	North America	USA	USA-South	North Carolina	?	North America	USA	North Carolina	29834	Human	unknown	Microbiology and Immunology	Bailey et al	https://www.gisaid.org	?
USA/NC_6999/2020	EPI_ISL_424871	?	2020-03-06	North America	USA	USA-South	North Carolina	?	North America	USA	North Carolina	29882	Human	NC State Laboratory of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/NJ-NYUMC106/2020	EPI_ISL_421718	?	2020-03-18	North America	USA	USA-Northeast	New Jersey	?	North America	USA	New Jersey	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NJ-NYUMC111/2020	EPI_ISL_421723	?	2020-03-18	North America	USA	USA-Northeast	New Jersey	?	North America	USA	New Jersey	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NJ-NYUMC84/2020	EPI_ISL_421585	?	2020-03-18	North America	USA	USA-Northeast	New Jersey	?	North America	USA	New Jersey	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NJ_3592/2020	EPI_ISL_424878	?	2020-03-04	North America	USA	USA-Northeast	New Jersey	?	North America	USA	New Jersey	29882	Human	NJ Public Health and Environmental Laboratories	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
USA/NY-NYUMC100/2020	EPI_ISL_421712	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC105/2020	EPI_ISL_421717	?	2020-03-18	North America	USA	USA-Northeast	New York	Nassau County	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC108/2020	EPI_ISL_421720	?	2020-03-18	North America	USA	USA-Northeast	New York	Queens	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC109/2020	EPI_ISL_421721	?	2020-03-17	North America	USA	USA-Northeast	New York	Nassau County	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC110/2020	EPI_ISL_421722	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC112/2020	EPI_ISL_421724	?	2020-03-18	North America	USA	USA-Northeast	New York	Manhattan	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC113/2020	EPI_ISL_421725	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC115/2020	EPI_ISL_421727	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC116/2020	EPI_ISL_421728	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29894	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC117/2020	EPI_ISL_421729	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC118/2020	EPI_ISL_421730	?	2020-03-18	North America	USA	USA-Northeast	New York	Staten Island	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC119/2020	EPI_ISL_421731	?	2020-03-18	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC12/2020	EPI_ISL_418197	?	2020-03-15	North America	USA	USA-Northeast	New York	Manhattan	North America	USA	New York	29903	Human	NYU Langone Health	Department of Pathology and Medicine, New York University School of Medicine	Black et al	https://www.gisaid.org	?
USA/NY-NYUMC122/2020	EPI_ISL_424929	?	2020-03-31	North America	USA	USA-Northeast	New York	Manhattan	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC126/2020	EPI_ISL_424933	?	2020-04-01	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC128/2020	EPI_ISL_424935	?	2020-04-01	North America	USA	USA-Northeast	New York	Nassau County	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC133/2020	EPI_ISL_424940	?	2020-04-01	North America	USA	USA-Northeast	New York	Queens	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC135/2020	EPI_ISL_424942	?	2020-04-01	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC139/2020	EPI_ISL_424946	?	2020-04-01	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
USA/NY-NYUMC140/2020	EPI_ISL_424947	?	2020-04-01	North America	USA	USA-Northeast	New York	Brooklyn	North America	USA	New York	29903	Human	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al	https://www.gisaid.org	?
